pais,departamento,provincia,municipio,circunscripcion,tipo_cargo,titular_suplente,posicion,nombre,genero,sigla,no,twitter,perfil_facebook,pagina_facebook,pagina_web,Patrimonio_fecha,total_bienes,valor_bienes,rentas,deudas,Denuncia_fecha,denunciante,tipo,contenido,fuente
Bolivia,Chuquisaca,,,,Diputado plurinominal,Suplente,2,Linda Leslie Vega Vallejos,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Titular,3,Marlene Fernández Mejías,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Suplente,3,Yver Padilla Rosado,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Titular,1,Blanca Magaly Lopez Sandoval,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Suplente,1,Alex Gustavo Cuellar Vildoso,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Titular,2,Gustavo Vega Piña,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado plurinominal,Suplente,2,Yolanda Yharsina Rengifo Mur,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,1,Carlos Silvestre Alarcon Mondonio,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,1,Krupskaya Adhair Oña Sanchez,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,2,María Elena Pachacute Ticona,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,2,José Manuel Ormachea Mendieta,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,3,Walter Villagra Romay,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,3,Roxana Vidales Mostajo,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,4,Gabriela Verónica Ferrel Parrado,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,4,Alejandro Jorge Reyes Careaga,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,5,Gustavo Adolfo Aliaga Palma,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,5,Jhenny Jhaneth Condori Callisaya,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,1,Freddy Mamani Laura,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,1,Persida Trifena Abi Guaygua Tola,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,2,Bertha Beatriz Acarapi,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,2,Juanito Angulo Huampo,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,3,Freddy Lopez Choque,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,3,Virginia Alanoca Condori,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,4,Betty Beatriz Yañiquez Lozano,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,4,Idelfonso Canaza Kapajeique,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,5,Froilán Mamani Choque,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,5,Nely Leticia Nesta Chavez,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,6,Gloria Magdalena Callizaya Rodriguez,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,6,Oscar Odon Guisbely Limachi,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,7,Freddy Velasquez Aparicio,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,7,Olimpia Armendia Alejo Ali,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,8,Griselda Soledad Perez Alberto,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,8,Richard Muchia Graneros,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Titular,9,Omar Al Yabhat Yujra Santos,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,La Paz,,,,Diputado plurinominal,Suplente,9,Maribela Vilela Lipa Aruquipa,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,1,Toribia Lero Quispe,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,1,George Fernando Komadina Rimassa,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,2,Saúl Octavio Lara Torrico,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,2,Ana María Saavedra Terán,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,3,Samantha Andrea Kersim Nogales Arispe,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,3,Jorge Pinto Fernandez,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,4,José Maldonado Gemio,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,4,Doris Claudia Torrez Antezana,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,5,Alejandra Camargo Tanabe,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,5,Rory Crismar Ordoñez Choque,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,1,Magaly Lourdes Gomez Aranibar,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,1,Bernardo Poca Terrazas,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,2,José Luis Flores Colquillo,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,2,Pamela Evelyn Terrazas Escobar,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,3,Felicia Alejo Hidalgo,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,3,Cecilio Alanes Cruz,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Titular,4,Jhonny Pardo Ramirez,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Cochabamba,,,,Diputado plurinominal,Suplente,4,Eva Salazar Orellana,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Titular,1,Enrique Fernando Urquidi Daza,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Suplente,1,Lucía Condori Cerro,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Titular,2,Mariel Carola Peñaloza Lema,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Suplente,2,Orlando Esteban Valdez Lopez,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Titular,3,Ronald Huanca Lopez,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Suplente,3,Tania Bacilia Cayoja Alcon,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Titular,1,Lily Bernabe Colque,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Oruro,,,,Diputado plurinominal,Suplente,1,Elías Choque Ayca,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Titular,1,José Guillermo Benavides Ramos,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Suplente,1,Lissa Amanda Claros Lora,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Titular,2,Marina Morales Cardenas,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Suplente,2,Huascar Gonzalo Borjes Michovich,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Titular,3,Juan Pardo Guevara,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Suplente,3,Rosario Verónica Sanjines López,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Titular,1,Elsa Ali Ramos,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Suplente,1,Abelardo Colque Vicente,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Titular,2,Gabriel Antonio Colque,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Suplente,2,Teodocia Benavidez Condori,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Titular,3,Celia Nancy Rivera Mamani,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Potosí,,,,Diputado plurinominal,Suplente,3,Ismael Liquitaya Santos,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Titular,1,María Elena Ortega,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Suplente,1,Adrián Vega Gandarillas,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Titular,2,José Luis Porcel Marquina,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Suplente,2,Susana Esther Sánchez Gareca,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Titular,1,Juan José Huanca Mamani,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Suplente,1,Viviana Lily Aparicio Romero,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Titular,2,Alexsandra Zenteno Cardozo,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Tarija,,,,Diputado plurinominal,Suplente,2,Bryan Zalles Mamani,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,1,Marioly A. Daisy Morón Osinaga,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,1,Caleb Villarroel Salvatierra,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,2,Erwin Bazán Gutiérrez,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,2,Laura Rojas Ayala,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,3,María Khaline Moreno Cárdenas,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,3,Andrés Richard Ribera Salas,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,4,Tito Caero Vargas,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,4,Fabiola Anouck Guachalla Roca,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,5,Sandra Paz Méndez,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,5,Andrés Ignacio Romero Rodriguez,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,1,Estefania Morales Laura,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,1,Rolando Américo Enríquez Cuellar,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,2,Jerges Mercado Suárez,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,2,Cinda Luana Nolasco Juchani,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,3,Alina Canaviri Sullcani,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,3,Valuis Dario Sequeli Socaño,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,4,Anyelo Gerardo Cespedes Miranda,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,4,Ninoska Liliana Morales Flores,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,1,Laura Luisa Nayar Sosa,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,1,Jairo Jesus Guiteras Tobias,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,2,Daniel Prieto Tomelitch,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,2,María José Salazar Oroza,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,3,Senaida Rojas Banegas,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,3,Iván Luis Canaviri Collarana,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Titular,4,Aldo Raúl Terrazas Rivero,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Santa Cruz,,,,Diputado plurinominal,Suplente,4,Solimar Carmen Veizaga Rocha,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Diputado plurinominal,Titular,1,Janira Roman Matijasevic,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Diputado plurinominal,Suplente,1,Genghis Kan Justiniano,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Diputado plurinominal,Titular,2,Oscar Alberto Balderas Montaño,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Diputado plurinominal,Suplente,2,Yessica Prisila Dantes Escalante,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Diputado plurinominal,Titular,1,Sarah Vania Crespo Arze,Femenino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Beni,,,,Diputado plurinominal,Suplente,1,Roque Jonathan Mapaquine Rivarola,Masculino,MAS-IPSP,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Diputado plurinominal,Titular,1,Sebastián Divico Muchairo,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Diputado plurinominal,Suplente,1,Raquel Rodriguez Chavez,Femenino,CC,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Diputado plurinominal,Titular,1,Sergio Maniguary Moura,Masculino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Pando,,,,Diputado plurinominal,Suplente,1,Deisy Deibi Maita Rueda,Femenino,CREEMOS,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado uninominal,Titular,1,Walter Pablo Arizaga Ruiz,Masculino,CC,,,,,,,,,,,,,,,
Bolivia,Chuquisaca,,,,Diputado uninominal,Suplente,1,Delia Arancibia Yucra,Femenino,CC,,,,,,,,,,,,,,,
